month,year,province,temp
6,2022,Hail,32.64
7,2022,Hail,33.05
8,2022,Hail,33.89
9,2022,Hail,30.38
10,2022,Hail,26.08
11,2022,Hail,18.88
12,2022,Hail,12.69
13,2022,Hail,23.05
1,2023,Hail,9.96
2,2023,Hail,10.54
3,2023,Hail,16.31
4,2023,Hail,19.96
5,2023,Hail,25.82
6,2023,Hail,31.37
7,2023,Hail,33.49
8,2023,Hail,33.69
9,2023,Hail,32.02
10,2023,Hail,26.2
11,2023,Hail,18.37
12,2023,Hail,14.06
13,2023,Hail,22.72
1,2018,Northern Borders,10.44
2,2018,Northern Borders,14.9
3,2018,Northern Borders,20.53
4,2018,Northern Borders,22.88
5,2018,Northern Borders,28.87
6,2018,Northern Borders,33.35
7,2018,Northern Borders,34.68
8,2018,Northern Borders,34.05
9,2018,Northern Borders,33.59
10,2018,Northern Borders,26.6
11,2018,Northern Borders,16.27
12,2018,Northern Borders,12.46
13,2018,Northern Borders,24.1
1,2019,Northern Borders,9.79
2,2019,Northern Borders,11.22
3,2019,Northern Borders,14.69
4,2019,Northern Borders,20.35
5,2019,Northern Borders,29.89
6,2019,Northern Borders,34.75
7,2019,Northern Borders,34.69
8,2019,Northern Borders,35.01
9,2019,Northern Borders,33.12
10,2019,Northern Borders,27.76
11,2019,Northern Borders,16.64
12,2019,Northern Borders,11.26
13,2019,Northern Borders,23.33
1,2020,Northern Borders,8.78
2,2020,Northern Borders,10.99
3,2020,Northern Borders,16.49
4,2020,Northern Borders,22.09
5,2020,Northern Borders,28.95
6,2020,Northern Borders,32.57
7,2020,Northern Borders,37.04
8,2020,Northern Borders,33.63
9,2020,Northern Borders,33.43
10,2020,Northern Borders,25.07
11,2020,Northern Borders,17.86
12,2020,Northern Borders,11.26
13,2020,Northern Borders,23.21
1,2021,Northern Borders,9.53
2,2021,Northern Borders,12.26
3,2021,Northern Borders,16.8
4,2021,Northern Borders,23.58
5,2021,Northern Borders,30.7
6,2021,Northern Borders,33.5
7,2021,Northern Borders,36.96
8,2021,Northern Borders,35.65
9,2021,Northern Borders,31.19
10,2021,Northern Borders,26.51
11,2021,Northern Borders,17.81
12,2021,Northern Borders,12.06
13,2021,Northern Borders,23.95
1,2022,Northern Borders,8.43
2,2022,Northern Borders,12.06
3,2022,Northern Borders,14.55
4,2022,Northern Borders,23.7
5,2022,Northern Borders,27.4
6,2022,Northern Borders,34.69
7,2022,Northern Borders,34.82
8,2022,Northern Borders,36.24
9,2022,Northern Borders,32.36
10,2022,Northern Borders,27.41
11,2022,Northern Borders,18.17
12,2022,Northern Borders,12.06
13,2022,Northern Borders,23.54
1,2023,Northern Borders,9.51
2,2023,Northern Borders,10.07
3,2023,Northern Borders,17.13
4,2023,Northern Borders,21.54
5,2023,Northern Borders,27.49
6,2023,Northern Borders,32.99
7,2023,Northern Borders,35.45
8,2023,Northern Borders,36.21
9,2023,Northern Borders,33.2
10,2023,Northern Borders,26.8
11,2023,Northern Borders,18.32
12,2023,Northern Borders,13.66
13,2023,Northern Borders,23.61
1,2018,Alqassim,12.08
2,2018,Alqassim,17.72
3,2018,Alqassim,23.19
4,2018,Alqassim,25.22
5,2018,Alqassim,30.85
6,2018,Alqassim,34.31
7,2018,Alqassim,35.11
8,2018,Alqassim,34.25
9,2018,Alqassim,34.1
10,2018,Alqassim,26.92
11,2018,Alqassim,19.38
12,2018,Alqassim,16.69
13,2018,Alqassim,25.86
1,2019,Alqassim,15.95
2,2019,Alqassim,15.17
3,2019,Alqassim,17.78
4,2019,Alqassim,23.44
5,2019,Alqassim,31.27
6,2019,Alqassim,35.36
7,2019,Alqassim,35.62
8,2019,Alqassim,34.94
9,2019,Alqassim,33.59
10,2019,Alqassim,29.06
11,2019,Alqassim,20.8
12,2019,Alqassim,15.47
13,2019,Alqassim,25.76
1,2020,Alqassim,11.57
2,2020,Alqassim,16.03
3,2020,Alqassim,19.75
4,2020,Alqassim,25.37
5,2020,Alqassim,30.71
6,2020,Alqassim,34.28
7,2020,Alqassim,36.91
8,2020,Alqassim,34.89
9,2020,Alqassim,32.31
10,2020,Alqassim,24.8
11,2020,Alqassim,21.34
12,2020,Alqassim,15.62
13,2020,Alqassim,25.32
1,2021,Alqassim,14.07
2,2021,Alqassim,16.08
3,2021,Alqassim,21.82
4,2021,Alqassim,26.27
5,2021,Alqassim,32.1
6,2021,Alqassim,34.86
7,2021,Alqassim,37.29
8,2021,Alqassim,35.38
9,2021,Alqassim,32.14
10,2021,Alqassim,28.43
11,2021,Alqassim,20.78
12,2021,Alqassim,16.13
13,2021,Alqassim,26.34
1,2022,Alqassim,13.59
2,2022,Alqassim,15.44
3,2022,Alqassim,20.41
4,2022,Alqassim,26.79
5,2022,Alqassim,29.69
6,2022,Alqassim,35.05
7,2022,Alqassim,35.67
8,2022,Alqassim,35.96
9,2022,Alqassim,32.33
10,2022,Alqassim,27.19
11,2022,Alqassim,22.71
12,2022,Alqassim,16.2
13,2022,Alqassim,25.97
1,2023,Alqassim,13.17
2,2023,Alqassim,14.81
3,2023,Alqassim,19.93
4,2023,Alqassim,22.94
5,2023,Alqassim,29.84
6,2023,Alqassim,33.97
7,2023,Alqassim,35.95
8,2023,Alqassim,36.12
9,2023,Alqassim,33.93
10,2023,Alqassim,28.65
11,2023,Alqassim,21.11
12,2023,Alqassim,16.75
13,2023,Alqassim,25.66
1,2018,Albaha,19.0
2,2018,Albaha,21.2
3,2018,Albaha,23.14
4,2018,Albaha,24.94
5,2018,Albaha,28.38
6,2018,Albaha,30.48
7,2018,Albaha,29.46
8,2018,Albaha,29.0
9,2018,Albaha,29.04
10,2018,Albaha,25.06
11,2018,Albaha,22.48
12,2018,Albaha,20.51
13,2018,Albaha,25.24
1,2019,Albaha,20.5
2,2019,Albaha,21.25
3,2019,Albaha,22.55
4,2019,Albaha,25.42
5,2019,Albaha,28.06
6,2019,Albaha,30.84
7,2019,Albaha,30.9
8,2019,Albaha,28.91
9,2019,Albaha,29.66
10,2019,Albaha,25.42
11,2019,Albaha,22.84
12,2019,Albaha,20.54
13,2019,Albaha,25.59
1,2020,Albaha,18.85
2,2020,Albaha,21.32
3,2020,Albaha,22.75
4,2020,Albaha,25.17
5,2020,Albaha,28.37
6,2020,Albaha,30.44
7,2020,Albaha,28.75
8,2020,Albaha,26.6
9,2020,Albaha,28.37
10,2020,Albaha,25.37
11,2020,Albaha,22.64
12,2020,Albaha,20.42
13,2020,Albaha,24.92
1,2021,Albaha,19.7
2,2021,Albaha,20.11
3,2021,Albaha,23.58
4,2021,Albaha,25.22
5,2021,Albaha,27.55
6,2021,Albaha,30.9
7,2021,Albaha,27.73
8,2021,Albaha,27.56
9,2021,Albaha,28.22
10,2021,Albaha,26.09
11,2021,Albaha,22.74
12,2021,Albaha,20.06
13,2021,Albaha,24.97
1,2022,Albaha,19.61
2,2022,Albaha,21.3
3,2022,Albaha,23.32
4,2022,Albaha,26.24
5,2022,Albaha,29.23
6,2022,Albaha,30.71
7,2022,Albaha,27.71
8,2022,Albaha,26.27
9,2022,Albaha,28.48
10,2022,Albaha,25.56
11,2022,Albaha,22.91
12,2022,Albaha,20.25
13,2022,Albaha,25.14
1,2023,Albaha,19.97
2,2023,Albaha,21.32
3,2023,Albaha,22.28
4,2023,Albaha,24.87
5,2023,Albaha,26.54
6,2023,Albaha,28.54
7,2023,Albaha,30.45
8,2023,Albaha,29.86
9,2023,Albaha,30.73
10,2023,Albaha,26.06
11,2023,Albaha,23.17
12,2023,Albaha,20.74
13,2023,Albaha,25.39
1,2018,Najran,16.06
2,2018,Najran,19.6
3,2018,Najran,22.22
4,2018,Najran,26.31
5,2018,Najran,28.16
6,2018,Najran,30.63
7,2018,Najran,31.22
8,2018,Najran,31.08
9,2018,Najran,28.23
10,2018,Najran,23.55
11,2018,Najran,21.89
12,2018,Najran,18.3
13,2018,Najran,24.79
1,2019,Najran,19.37
2,2019,Najran,21.3
3,2019,Najran,24.28
4,2019,Najran,27.16
5,2019,Najran,27.87
6,2019,Najran,30.94
7,2019,Najran,31.87
8,2019,Najran,30.3
9,2019,Najran,29.12
10,2019,Najran,24.34
11,2019,Najran,20.56
12,2019,Najran,18.71
13,2019,Najran,25.5
1,2020,Najran,17.66
2,2020,Najran,21.3
3,2020,Najran,23.16
4,2020,Najran,26.64
5,2020,Najran,27.37
6,2020,Najran,30.07
7,2020,Najran,30.9
8,2020,Najran,29.78
9,2020,Najran,27.41
10,2020,Najran,22.06
11,2020,Najran,20.22
12,2020,Najran,17.48
13,2020,Najran,24.5
1,2021,Najran,15.99
2,2021,Najran,19.32
3,2021,Najran,23.0
4,2021,Najran,24.83
5,2021,Najran,28.54
6,2021,Najran,30.09
7,2021,Najran,30.47
8,2021,Najran,30.5
9,2021,Najran,27.97
10,2021,Najran,23.75
11,2021,Najran,19.8
12,2021,Najran,17.39
13,2021,Najran,24.33
1,2022,Najran,18.94
2,2022,Najran,20.12
3,2022,Najran,22.76
4,2022,Najran,25.89
5,2022,Najran,27.84
6,2022,Najran,30.57
7,2022,Najran,29.39
8,2022,Najran,28.78
9,2022,Najran,27.6
10,2022,Najran,22.68
11,2022,Najran,19.97
12,2022,Najran,17.61
13,2022,Najran,24.36
1,2023,Najran,18.39
2,2023,Najran,20.94
3,2023,Najran,22.74
4,2023,Najran,25.44
5,2023,Najran,27.49
6,2023,Najran,29.55
7,2023,Najran,32.47
8,2023,Najran,31.86
9,2023,Najran,29.2
10,2023,Najran,23.85
11,2023,Najran,21.4
12,2023,Najran,17.34
13,2023,Najran,25.07
1,2018,Aseer,16.26
2,2018,Aseer,19.2
3,2018,Aseer,21.48
4,2018,Aseer,23.68
5,2018,Aseer,27.42
6,2018,Aseer,29.52
7,2018,Aseer,29.16
8,2018,Aseer,29.21
9,2018,Aseer,27.57
10,2018,Aseer,22.83
11,2018,Aseer,21.26
12,2018,Aseer,19.14
13,2018,Aseer,23.92
1,2019,Aseer,19.78
2,2019,Aseer,20.33
3,2019,Aseer,22.01
4,2019,Aseer,25.32
5,2019,Aseer,26.89
6,2019,Aseer,29.77
7,2019,Aseer,30.35
8,2019,Aseer,28.55
9,2019,Aseer,28.09
10,2019,Aseer,23.77
11,2019,Aseer,20.91
12,2019,Aseer,18.66
13,2019,Aseer,24.55
1,2020,Aseer,16.6
2,2020,Aseer,20.44
3,2020,Aseer,21.96
4,2020,Aseer,25.07
5,2020,Aseer,27.14
6,2020,Aseer,29.19
7,2020,Aseer,29.2
8,2020,Aseer,27.89
9,2020,Aseer,26.53
10,2020,Aseer,21.57
11,2020,Aseer,20.6
12,2020,Aseer,18.34
13,2020,Aseer,23.71
1,2021,Aseer,17.38
2,2021,Aseer,18.63
3,2021,Aseer,23.09
4,2021,Aseer,24.18
5,2021,Aseer,26.59
6,2021,Aseer,29.32
7,2021,Aseer,28.81
8,2021,Aseer,28.46
9,2021,Aseer,27.17
10,2021,Aseer,23.28
11,2021,Aseer,19.88
12,2021,Aseer,17.79
13,2021,Aseer,23.74
1,2022,Aseer,18.48
2,2022,Aseer,20.66
3,2022,Aseer,22.57
4,2022,Aseer,24.86
5,2022,Aseer,27.42
6,2022,Aseer,29.55
7,2022,Aseer,28.34
8,2022,Aseer,27.44
9,2022,Aseer,27.06
10,2022,Aseer,22.29
11,2022,Aseer,20.76
12,2022,Aseer,18.24
13,2022,Aseer,23.98
1,2023,Aseer,18.42
2,2023,Aseer,20.68
3,2023,Aseer,20.72
4,2023,Aseer,23.35
5,2023,Aseer,25.43
6,2023,Aseer,27.75
7,2023,Aseer,30.93
8,2023,Aseer,30.18
9,2023,Aseer,28.49
10,2023,Aseer,23.42
11,2023,Aseer,21.31
12,2023,Aseer,17.56
13,2023,Aseer,24.03
1,2018,Jouf,8.89
2,2018,Jouf,13.7
3,2018,Jouf,19.12
4,2018,Jouf,20.53
5,2018,Jouf,26.36
6,2018,Jouf,30.34
7,2018,Jouf,31.53
8,2018,Jouf,30.94
9,2018,Jouf,30.53
10,2018,Jouf,24.2
11,2018,Jouf,14.2
12,2018,Jouf,10.12
13,2018,Jouf,21.75
1,2019,Jouf,8.43
2,2019,Jouf,9.1
3,2019,Jouf,12.52
4,2019,Jouf,18.13
5,2019,Jouf,27.4
6,2019,Jouf,31.45
7,2019,Jouf,31.51
8,2019,Jouf,31.51
9,2019,Jouf,29.82
10,2019,Jouf,25.49
11,2019,Jouf,15.67
12,2019,Jouf,9.75
13,2019,Jouf,20.96
1,2020,Jouf,6.68
2,2020,Jouf,9.75
3,2020,Jouf,14.69
4,2020,Jouf,19.58
5,2020,Jouf,25.85
6,2020,Jouf,28.97
7,2020,Jouf,33.68
8,2020,Jouf,30.46
9,2020,Jouf,31.51
10,2020,Jouf,24.18
11,2020,Jouf,16.0
12,2020,Jouf,10.56
13,2020,Jouf,21.02
1,2021,Jouf,8.55
2,2021,Jouf,10.6
3,2021,Jouf,15.18
4,2021,Jouf,21.34
5,2021,Jouf,27.97
6,2021,Jouf,29.87
7,2021,Jouf,32.87
8,2021,Jouf,32.36
9,2021,Jouf,28.52
10,2021,Jouf,24.31
11,2021,Jouf,16.25
12,2021,Jouf,10.8
13,2021,Jouf,21.61
1,2022,Jouf,7.09
2,2022,Jouf,10.29
3,2022,Jouf,12.63
4,2022,Jouf,22.22
5,2022,Jouf,25.1
6,2022,Jouf,30.98
7,2022,Jouf,32.01
8,2022,Jouf,33.3
9,2022,Jouf,29.6
10,2022,Jouf,24.98
11,2022,Jouf,16.53
12,2022,Jouf,10.56
13,2022,Jouf,21.33
1,2023,Jouf,8.4
2,2023,Jouf,8.3
3,2023,Jouf,14.94
4,2023,Jouf,19.76
5,2023,Jouf,24.9
6,2023,Jouf,29.7
7,2023,Jouf,32.95
8,2023,Jouf,33.39
9,2023,Jouf,30.3
10,2023,Jouf,24.1
11,2023,Jouf,17.42
12,2023,Jouf,12.11
13,2023,Jouf,21.43
